true_class,Diterpenoids,Sesquiterpenoids,Triterpenoids,Flavonoids,Unknown,Steroids,Tryptophan alkaloids,Oligopeptides,Monoterpenoids,Polycyclic aromatic polyketides,Meroterpenoids,Coumarins,Macrolides,Lignans,Isoflavonoids,Linear polyketides,Tyrosine alkaloids,Cyclic polyketides,Aromatic polyketides,Naphthalenes,Small peptides,Multi,Chromanes,Peptide alkaloids,Pseudoalkaloids,Fatty acyls,Xanthones,Fatty Acids and Conjugates,Phenolic acids (C6-C1),Carotenoids (C40),Anthranilic acid alkaloids,Lysine alkaloids,Phenylpropanoids (C6-C3),Sesterterpenoids,Phloroglucinols,Stilbenoids,Apocarotenoids,Nicotinic acid alkaloids,Terphenyls,Ornithine alkaloids,Fatty esters,Diarylheptanoids,Sphingolipids,Fatty amides,Glycerolipids,Polyethers,Eicosanoids,Diphenyl ethers (DPEs),Saccharides,Histidine alkaloids,Nucleosides,Glycerophospholipids,Styrylpyrones,Phenanthrenoids,Amino acid glycosides,Proline alkaloids,β-lactams,Octadecanoids,Polyols,Aminosugars and aminoglycosides,Miscellaneous polyketides,Alkylresorcinols,Polyprenols,Serine alkaloids,Diazotetronic acids and derivatives,Tetramate alkaloids,Phenylethanoids (C6-C2),Fatty acyl glycosides,Tropolones,Docosanoids,Carotenoids (C50),γ-lactam-β-lactones,Guanidine alkaloids,Miscellaneous alkaloids,Mycosporine derivatives,Fluorenes
Macrolides,1,13,1,0,25,0,0,11,5,0,0,6,954,0,0,17,5,3,1,0,0,5,6,4,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polycyclic aromatic polyketides,1,2,0,0,16,0,2,0,0,960,4,6,0,2,0,0,3,3,1,48,0,11,0,5,0,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclic polyketides,0,11,0,1,104,0,0,0,4,2,9,50,5,3,0,27,0,689,10,13,0,5,13,0,4,20,1,5,13,0,1,0,11,0,19,3,3,3,0,0,2,0,0,0,0,0,0,2,1,0,0,0,10,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Lignans,1,0,0,2,50,0,1,0,6,0,1,5,0,855,3,0,11,1,4,0,0,7,0,0,1,0,3,0,3,0,0,0,21,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linear polyketides,1,2,0,0,64,0,0,2,3,0,2,1,10,0,0,765,0,7,2,0,2,25,0,3,0,16,0,19,5,10,0,0,0,0,1,0,0,1,0,0,15,0,3,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
Isoflavonoids,0,0,0,46,30,0,0,0,0,1,1,8,0,5,782,0,0,3,2,1,0,3,4,0,0,0,39,0,7,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrosine alkaloids,0,0,0,2,62,0,8,0,1,0,0,2,0,10,6,0,756,0,0,1,0,10,0,0,1,0,0,0,0,0,2,0,3,0,2,1,0,7,2,0,0,0,0,9,0,0,0,0,0,2,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aromatic polyketides,0,4,0,1,47,0,0,0,0,7,6,5,0,1,0,0,0,15,690,24,0,12,10,0,0,4,10,2,18,0,0,0,1,0,10,0,1,3,0,0,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0
Small peptides,5,9,0,1,45,0,1,46,8,0,2,0,0,3,0,0,0,0,0,0,598,27,0,17,2,4,0,12,2,0,0,12,4,0,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naphthalenes,3,2,0,1,42,0,2,0,0,60,0,2,0,4,0,0,9,2,3,479,1,9,16,0,2,0,0,0,7,0,2,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromanes,0,4,0,5,29,0,0,0,2,14,4,30,0,0,5,3,0,26,3,35,0,17,423,0,0,0,23,0,9,0,0,1,0,0,8,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peptide alkaloids,0,2,0,7,38,1,11,11,1,0,0,0,0,0,0,6,0,0,1,0,3,34,0,429,0,6,0,0,7,8,6,0,1,0,2,0,2,0,2,0,0,0,4,6,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
